Centroid Latitude,Centroid Longitude,Name,Country Name,Closest Location Latitude,Closest Location Longitude,Number of Bombing At Location
46.08486,14.35573,Ljubljana,Slovenia,46.0511,14.5051,26
49.16592,-1.13423,Pont-Hebert,France,49.16714,-1.13428,1178
54.03596,13.38845,Weitenhagen,Germany,54.05372,13.40998,494
41.48946,25.44259,Dzhebel,Bulgaria,41.49566,25.30363,11
40.17404,18.16588,Galatina,Italy,40.17416,18.17032,23
44.67284,0.61559,Castillonnes,France,44.65254,0.59171,12
49.20999,11.66166,Velburg,Germany,49.23212,11.6716,29
43.97332,7.44968,Monaco,Monaco,43.7333,7.4167,67
46.95881,16.92463,Zalaegerszeg,Hungary,46.84,16.84389,97
52.08874,8.79666,Bad Salzuflen,Germany,52.0862,8.74434,395
42.70159,20.57834,Klina,,42.62167,20.57778,27
40.4551,21.42307,Mavrochori,Greece,40.51224,21.32038,15
43.94459,18.19565,Sarajevo,Bosnia and Herzegovina,43.8486,18.3564,18
45.79472,9.08322,Como,Italy,45.80819,9.0832,305
51.17028,13.07358,Grossweitzschen,Germany,51.15845,13.04517,258
48.35005,1.07076,Thiron Gardais,France,48.31667,0.98333,50
43.26605,11.02539,Radicondoli,Italy,43.26047,11.04582,732
46.65884,20.2549,Szentes,Hungary,46.65834,20.2608,28
48.70624,8.20944,Buhlertal,Germany,48.68569,8.18876,467
44.68081,26.0869,Bucuresti (Bucharest),Romania,44.4328,26.1043,548
52.71158,17.08695,Skoki,Poland,52.67222,17.16107,46
41.58138,14.14494,Fornelli,Italy,41.60678,14.14041,1828
48.4374,14.28186,Hellmonsoedt,Austria,48.43333,14.3,562
50.93241,3.06108,Oostnieuwkerke,Belgium,50.93959,3.05742,645
45.11689,15.94591,Todorovo,Bosnia and Herzegovina,45.08833,15.93083,27
37.60319,14.785,Centuripe,Italy,37.62336,14.74049,1013
51.93424,11.09201,Gross Quenstedt,Germany,51.93333,11.11667,447
42.2102,19.49452,Podgorica,Montenegro,42.4411,19.2636,34
51.00108,6.75972,Pulheim,Germany,50.99965,6.80632,4564
