Country,City,AccentCity,Region,Population,Latitude,Longitude
ie,aasleagh,Aasleagh,10,,53.6166667,-9.666666699999999
ie,abbevill,Abbevill,04,,51.966666700000005,-8.583333300000001
ie,abbeville,Abbeville,04,,51.966666700000005,-8.583333300000001
ie,abbey,Abbey,10,,53.1030556,-8.392222199999999
ie,abbeydorney,Abbeydorney,11,,52.35,-9.683333300000001
ie,abbeyfeale,Abbeyfeale,16,1734.0,52.3813889,-9.3025
ie,abbeylara,Abbeylara,18,,53.7666667,-7.45
ie,abbeyleix,Abbeyleix,15,1711.0,52.8991667,-7.3575
ie,abbeymahon,Abbeymahon,04,,51.633055600000006,-8.775277800000001
ie,abbey mount,Abbey Mount,04,,51.6008333,-9.1377778
ie,abbeyshrule,Abbeyshrule,18,,53.5833333,-7.65
ie,abbeyside,Abbeyside,27,,52.093888899999996,-7.6113889000000015
ie,abbeytown,Abbeytown,20,,54.1716667,-9.1611111
ie,abbeyville,Abbeyville,25,,54.0608333,-8.503611099999999
ie,abbot's cross roads,Abbot's Cross Roads,12,,52.913888899999996,-6.822777799999999
ie,abbotstown,Abbotstown,07,,53.3930556,-6.355
ie,abhainn an scail,Abhainn an Scáil,11,,52.1516667,-10.0566667
ie,abhoca,Abhóca,31,,52.85277779999999,-6.2169444
ie,abington,Abington,16,,52.635555599999996,-8.4147222
ie,accrour bridge,Accrour Bridge,16,,52.374444399999994,-8.906666699999999
ie,achadh an iuir,Achadh an Iúir,02,,53.8338889,-7.0755555999999995
ie,achadh ur,Achadh Úr,13,,52.7341667,-7.398888900000001
ie,achill,Achill,20,,53.9311111,-9.915
ie,achill sound,Achill Sound,20,,53.927777799999994,-9.9391667
ie,achonry,Achonry,25,,54.082777799999995,-8.6669444
ie,aclare,Aclare,25,,54.033333299999995,-8.9
ie,adamstown,Adamstown,27,,52.228055600000005,-7.2341667
ie,adamstown,Adamstown,30,,52.3941667,-6.7169444
ie,adare,Adare,16,,52.5619444,-8.7955556
ie,addergoole,Addergoole,10,,53.363055599999996,-9.015555599999999
ie,addragool,Addragool,10,,53.3211111,-9.144444400000001
ie,adoca,Adoca,31,,52.85277779999999,-6.2169444
ie,adrigole,Adrigole,04,,51.7008333,-9.725
ie,adrivale,Adrivale,04,,52.0344444,-9.1105556
ie,aeaun bridge,Aeaun Bridge,01,,52.8433333,-6.6633333
ie,agall,Agall,23,,53.256111100000005,-7.6016667
ie,agar bridge,Agar Bridge,12,,53.24222220000001,-6.949722200000001
ie,aghaboe,Aghaboe,15,,52.9188889,-7.5119444
ie,aghabog,Aghabog,22,,54.14972220000001,-7.0894444000000005
ie,aghabulloge,Aghabulloge,04,,51.9333333,-8.8
ie,aghabullogue,Aghabullogue,04,,51.9333333,-8.8
ie,aghacunna,Aghacunna,04,,51.874444399999994,-9.091944400000001
ie,aghacurreen,Aghacurreen,11,,52.089722200000004,-9.5652778
ie,aghada,Aghada,04,,51.8391667,-8.212222200000001
ie,aghade bridge,Aghade Bridge,01,,52.7575,-6.7255556
ie,aghadoon,Aghadoon,20,,54.271111100000006,-10.0297222
ie,aghadreen,Aghadreen,15,,52.91,-7.178888900000001
ie,aghadreenagh,Aghadreenagh,02,,54.0783333,-7.3094444
